date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:01	86656/86656	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/b_1.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/b_1.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:01	50282/50282	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/p_2.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/p_2.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:01	95324/95324	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/p_3.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/p_3.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:02	51220/51220	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/p_4.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/p_4.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:02	39434/39434	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/p_5.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/p_5.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:02	79116/79116	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/p_1.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/p_1.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:02	82811/82811	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_2.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_2.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:03	90716/90716	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_3.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_3.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:03	90825/90825	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/m_1.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/m_1.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:03	87037/87037	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_1.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/pro_1.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:03	213112/213112	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/t_2.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/t_2.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:04	85553/85553	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/t_3.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/t_3.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:04	84188/84188	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/team_5.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/team_5.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
12:58:04	107628/107628	URF---	200	added ('OK%20(cached)')	image/jpeg		https://demos.creative-tim.com/material-kit-pro/assets/img/sections/team_1.jpg	/home/braes/websites/page%20VIewGroup/demos.creative-tim.com/material-kit-pro/assets/img/sections/team_1.jpg	(from https://demos.creative-tim.com/material-kit-pro/presentation.html)
